Students	3500
1	16 1 5 18
2	6 16 14 2
3	20 11 14 12
4	16 10 5 19
5	2 20 4 5
6	8 13 15 1
7	5 18 15 16
8	18 7 16 19
9	20 2 18 1
10	16 15 6 14
11	5 17 11 1
12	14 8 7 16
13	7 5 10 20
14	14 6 5 1
15	14 8 9 3
16	3 2 7 13
17	6 10 16 7
18	16 12 20 10
19	15 4 1 8
20	18 7 6 9
21	17 4 19 15
22	16 3 15 17
23	6 10 13 11
24	1 6 3 10
25	20 11 2 1
26	10 2 14 5
27	4 12 18 7
28	3 11 18 9
29	1 16 17 13
30	14 12 9 15
31	12 10 9 2
32	16 18 9 13
33	4 18 13 5
34	2 11 4 17
35	5 4 7 14
36	13 20 17 18
37	19 13 3 2
38	11 8 19 17
39	4 1 19 5
40	17 19 16 3
41	4 2 7 6
42	2 20 8 15
43	5 2 16 9
44	1 2 18 5
45	10 15 18 20
46	6 17 10 12
47	11 13 2 14
48	8 5 10 2
49	12 14 10 5
50	7 13 17 14
51	1 7 2 19
52	3 16 2 4
53	16 13 19 14
54	18 11 13 5
55	12 2 15 8
56	10 4 3 5
57	6 3 19 9
58	13 1 16 8
59	20 15 18 13
60	19 20 9 16
61	2 3 9 8
62	20 14 11 17
63	14 6 4 5
64	17 11 10 8
65	15 19 6 9
66	7 15 14 5
67	16 12 20 14
68	14 7 19 6
69	2 8 4 14
70	9 10 3 17
71	13 7 2 20
72	17 18 2 4
73	6 2 5 9
74	4 11 15 16
75	12 4 2 9
76	1 9 12 14
77	14 11 17 18
78	1 6 12 9
79	6 5 1 2
80	8 2 20 11
81	2 5 19 4
82	3 13 6 14
83	13 1 5 19
84	10 8 18 17
85	19 15 8 4
86	2 3 19 18
87	18 7 2 14
88	19 8 3 2
89	17 7 2 12
90	3 16 5 9
91	16 6 19 14
92	10 6 8 12
93	9 4 11 6
94	3 15 8 12
95	15 11 8 18
96	9 16 11 18
97	2 20 8 11
98	19 11 5 18
99	14 1 8 10
100	13 16 8 5
101	12 1 5 13
102	1 6 18 4
103	12 14 13 2
104	5 6 8 14
105	18 7 19 12
106	7 10 12 3
107	7 9 8 14
108	16 1 9 2
109	15 3 13 12
110	17 10 8 1
111	4 11 18 19
112	7 9 18 13
113	7 18 14 17
114	17 15 20 14
115	7 14 12 16
116	4 2 19 7
117	2 12 15 6
118	15 4 7 8
119	14 6 2 10
120	3 14 10 13
121	14 1 15 6
122	14 20 10 12
123	17 14 3 18
124	9 2 1 8
125	3 17 2 15
126	14 7 2 13
127	9 11 8 3
128	20 13 14 7
129	17 11 10 15
130	16 7 8 14
131	20 12 11 6
132	8 16 12 14
133	18 4 7 2
134	8 17 6 11
135	8 4 5 6
136	18 8 12 3
137	14 12 6 3
138	14 3 18 9
139	2 1 14 19
140	8 17 1 2
141	3 11 2 16
142	9 18 10 5
143	5 4 3 6
144	4 1 11 17
145	10 7 20 4
146	14 17 18 19
147	3 15 4 19
148	19 11 9 17
149	7 16 6 20
150	11 9 1 7
151	18 3 12 20
152	17 14 4 13
153	8 13 9 14
154	19 18 14 15
155	13 12 10 15
156	5 1 8 13
157	14 8 10 1
158	2 13 6 20
159	17 18 5 15
160	5 20 7 17
161	10 7 19 9
162	8 20 5 9
163	2 17 1 3
164	11 14 10 18
165	8 12 2 9
166	15 1 8 19
167	18 1 17 7
168	17 5 6 13
169	15 16 14 5
170	9 12 5 11
171	4 3 19 7
172	4 2 16 14
173	8 13 5 1
174	12 16 17 10
175	3 20 9 8
176	18 11 1 13
177	12 13 18 11
178	20 14 6 12
179	13 14 10 2
180	5 2 4 8
181	1 12 14 6
182	6 13 4 16
183	12 6 4 14
184	16 7 13 2
185	1 2 16 14
186	19 7 10 14
187	14 13 3 8
188	12 5 11 2
189	14 10 11 1
190	8 20 19 9
191	18 19 17 16
192	16 17 4 1
193	7 14 8 15
194	12 3 10 8
195	8 14 15 2
196	19 8 13 2
197	10 5 9 17
198	11 6 15 5
199	9 3 11 12
200	2 20 15 4
201	3 1 19 16
202	19 16 1 17
203	3 17 9 5
204	20 16 14 9
