Students	100
1	13 3 9 12
2	18 8 1 17
3	12 6 11 9
4	14 12 20 1
5	2 7 10 14
6	10 8 12 18
7	12 6 4 11
8	16 9 19 6
9	18 13 3 5
10	16 11 18 15
11	3 5 11 17
12	2 20 10 13
13	19 18 9 3
14	7 3 19 20
15	2 13 6 4
16	11 2 5 8
17	1 7 8 4
18	17 4 10 12
19	4 7 13 19
20	10 19 5 18
21	6 18 11 3
22	7 13 2 3
23	6 15 20 2
24	11 17 14 4
25	18 14 2 1
26	20 12 2 11
27	2 1 11 3
28	17 7 6 10
29	12 17 4 8
30	12 7 5 19
31	2 14 6 9
32	20 17 12 4
33	19 12 18 1
34	15 4 20 2
35	2 10 1 12
36	7 20 19 17
37	6 17 3 1
38	13 5 6 15
39	4 6 19 7
40	19 7 16 9
41	19 5 7 10
42	15 5 7 16
43	16 17 10 14
44	17 6 4 10
45	16 9 3 18
46	17 6 13 5
47	10 17 16 4
48	15 2 4 20
49	3 15 9 17
50	18 8 14 15
51	2 13 4 15
52	19 10 5 2
53	1 2 8 13
54	5 7 14 19
55	15 13 12 20
56	4 6 1 10
57	14 10 2 18
58	1 11 14 3
59	14 9 20 16
60	3 20 9 16
61	13 8 14 3
62	5 2 13 10
63	2 3 13 17
64	15 6 14 13
65	17 12 13 20
66	1 2 5 18
67	10 7 11 8
68	14 13 10 12
69	1 16 6 17
70	11 3 20 5
71	8 18 16 7
72	2 11 16 10
73	19 13 8 16
74	13 10 3 16
75	12 19 4 16
76	18 9 13 1
77	8 2 4 9
78	15 19 4 6
79	17 11 19 15
80	1 16 13 14
81	10 8 5 4
82	2 3 11 10
83	5 11 10 16
84	4 9 12 10
85	20 5 19 11
86	14 8 9 16
87	18 9 1 20
88	1 3 17 9
89	2 3 20 10
90	11 15 14 17
91	20 13 14 1
92	3 15 14 11
93	15 14 1 12
94	6 14 11 20
95	10 17 5 11
96	12 17 14 9
97	19 17 1 10
98	6 17 8 12
99	15 8 10 20
100	1 9 4 14
