Students	3000
1	230 126 395 85
2	367 24 377 140
3	95 161 205 30
4	243 153 172 370
5	104 6 240 284
6	219 284 119 155
7	194 30 17 151
8	212 190 3 222
9	195 42 394 271
10	185 12 148 263
11	275 150 314 185
12	82 170 289 375
13	335 236 186 90
14	325 99 156 58
15	361 167 309 292
16	379 227 290 151
17	119 309 335 347
18	266 41 230 371
19	217 199 339 145
20	293 100 178 26
21	223 326 369 363
22	147 329 41 184
23	114 269 238 146
24	258 373 220 302
25	338 354 383 97
26	295 253 233 65
27	30 319 187 120
28	366 274 62 122
29	113 36 365 78
30	174 17 354 182
31	360 63 339 159
32	204 146 325 106
33	21 194 3 46
34	36 126 191 210
35	93 120 370 365
36	204 19 2 3
37	356 350 392 315
38	6 333 229 197
39	106 297 226 365
40	274 219 52 43
41	270 86 376 386
42	242 104 299 303
43	143 249 251 369
44	7 23 86 383
45	51 320 325 207
46	282 307 357 271
47	125 199 155 14
48	45 112 343 331
49	363 222 279 4
50	242 273 226 359
51	163 328 388 186
52	278 217 46 348
53	237 53 282 297
54	167 119 70 373
55	116 333 8 256
56	264 314 142 295
57	143 251 16 209
58	390 313 217 339
59	65 366 391 121
60	153 174 109 343
61	129 32 163 292
62	220 150 305 58
63	355 233 273 83
64	100 205 240 210
65	354 54 14 167
66	393 113 174 84
67	364 278 82 169
68	242 213 84 129
69	204 185 343 219
70	26 9 256 349
71	51 237 36 112
72	232 398 252 227
73	319 349 270 229
74	97 43 122 397
75	54 75 172 202
76	202 228 77 314
77	324 78 128 385
78	395 111 303 46
79	184 101 27 350
80	98 122 163 370
81	138 62 166 158
82	296 260 232 275
83	160 234 310 22
84	24 241 69 312
85	67 169 332 345
86	27 228 263 252
87	212 8 270 78
88	71 370 383 9
89	392 114 107 371
90	295 388 227 373
91	296 192 30 168
92	164 10 369 367
93	228 205 235 194
94	111 193 302 377
95	225 184 317 223
96	61 348 36 178
97	219 373 277 360
98	121 347 165 280
99	318 114 224 358
100	76 70 339 282
101	110 308 90 394
102	113 294 63 14
103	195 8 7 314
104	239 399 220 123
105	17 237 239 89
106	271 184 91 330
107	268 318 299 105
108	130 14 157 343
109	274 80 390 137
110	309 174 325 355
111	121 111 230 346
112	266 10 104 260
113	263 378 309 315
114	287 136 140 204
115	362 311 99 157
116	45 294 275 28
117	28 174 133 374
118	304 102 258 60
119	143 222 76 238
120	248 289 120 154
121	250 4 34 374
122	129 141 198 92
123	388 177 379 226
124	32 181 98 35
125	354 370 128 131
126	143 162 60 227
127	79 384 353 245
128	67 266 340 271
129	72 90 290 343
130	335 171 21 349
131	189 76 293 147
132	43 227 40 164
133	66 88 167 345
134	378 230 222 189
135	126 335 341 35
136	3 223 344 334
137	128 227 155 327
138	327 291 262 265
139	50 78 65 170
140	313 223 380 62
141	378 137 225 375
142	376 148 3 161
143	120 379 68 55
144	347 77 174 292
145	162 259 364 367
146	224 280 267 105
147	255 22 240 179
148	81 135 319 96
149	274 250 121 80
150	266 27 156 308
151	43 62 185 42
152	84 322 333 147
153	214 371 21 139
154	179 67 169 261
155	194 77 247 132
156	291 83 170 387
157	287 393 139 178
158	112 249 35 223
159	176 86 65 57
160	58 97 225 46
161	72 261 386 226
162	243 343 262 107
163	15 239 78 340
164	70 371 94 200
165	67 40 20 291
166	121 156 91 211
167	308 29 315 251
168	13 220 30 18
169	219 377 317 156
170	384 273 367 233
171	141 83 183 379
172	152 364 290 20
173	114 69 67 43
174	359 190 195 93
175	300 373 108 148
176	218 381 87 219
177	379 152 61 57
178	314 383 292 180
179	273 248 244 153
180	183 12 5 338
181	93 396 147 238
182	339 383 265 272
183	80 4 310 296
184	104 200 212 324
185	220 146 352 233
186	131 98 272 177
187	144 109 164 28
188	26 179 71 158
189	236 86 263 287
190	53 33 387 336
191	166 123 265 297
192	45 5 90 112
193	206 393 40 183
194	37 145 353 139
195	8 335 91 171
196	132 290 282 166
197	270 253 332 22
198	106 321 79 40
199	82 208 243 205
200	267 164 333 199
201	325 162 250 181
202	135 240 229 159
203	46 132 189 170
204	132 302 179 296
205	380 172 217 337
206	126 86 375 151
207	353 273 161 46
208	140 320 128 195
209	151 125 248 291
210	32 89 275 25
211	68 22 176 97
212	12 375 109 228
213	183 12 293 253
214	196 162 340 96
215	90 33 84 315
216	91 80 198 155
217	72 316 186 361
218	41 200 260 353
219	190 146 228 62
220	219 359 208 60
221	262 267 32 73
222	278 118 39 29
223	9 200 398 12
224	347 361 266 312
225	389 71 380 203
226	69 398 221 243
227	229 8 76 191
228	309 52 396 146
229	68 52 17 47
230	218 5 156 320
231	249 120 262 35
232	332 5 15 78
233	69 145 116 173
234	2 258 80 47
235	1 245 65 68
236	324 10 359 305
237	387 98 388 315
238	152 113 65 264
239	9 336 144 107
240	88 231 154 110
241	167 21 173 344
242	169 37 214 268
243	346 239 3 209
244	321 312 143 203
245	165 222 303 360
246	291 135 152 210
247	399 287 216 255
248	346 371 187 52
249	117 195 85 76
250	102 315 384 373
251	261 152 375 191
252	229 291 348 303
253	303 277 236 145
254	297 339 190 109
255	308 134 46 229
256	231 238 278 150
257	275 47 319 183
258	184 151 5 124
259	344 398 138 16
260	252 213 119 382
261	216 391 99 356
262	53 146 365 285
263	281 132 149 273
264	8 171 225 125
265	138 293 387 287
266	384 338 373 39
267	356 350 98 130
268	8 322 343 229
269	150 287 185 329
270	18 321 352 225
271	214 116 27 237
272	264 129 128 329
273	21 221 282 381
274	281 369 247 361
275	299 78 54 286
276	206 239 247 302
277	270 282 347 283
278	168 165 245 387
279	258 138 79 33
280	134 44 160 168
281	398 312 238 373
282	181 114 172 355
283	4 116 323 241
284	268 118 397 159
285	308 178 394 38
286	136 320 336 34
287	345 27 391 40
288	359 31 50 389
289	310 36 219 236
290	320 397 168 127
291	232 267 247 118
292	81 165 295 62
293	378 222 322 38
294	329 177 349 80
295	121 82 198 53
296	194 261 49 245
297	234 240 136 148
298	354 293 156 356
299	298 42 263 192
300	96 305 384 349
301	350 362 164 64
302	245 101 321 369
303	294 299 228 177
304	343 283 13 130
305	18 315 188 29
306	141 120 144 153
307	396 125 166 340
308	362 218 252 376
309	396 378 74 242
310	170 249 140 357
311	3 334 120 264
312	139 13 384 277
313	80 346 330 272
314	15 345 368 35
315	46 275 133 122
316	300 325 34 33
317	92 300 30 148
318	68 212 328 231
319	390 395 316 101
320	367 175 66 132
321	67 40 269 270
322	341 199 370 224
323	58 264 339 118
324	217 335 21 19
325	289 105 169 209
326	266 51 283 237
327	196 66 238 138
328	315 398 209 201
329	387 249 186 141
330	167 199 45 64
331	203 40 132 302
332	356 351 266 307
333	344 100 349 395
334	114 153 167 35
335	363 71 127 164
336	77 381 94 160
337	398 61 381 243
338	358 374 29 359
339	397 131 202 65
340	89 329 396 159
341	123 185 329 16
342	47 84 246 270
343	259 358 375 126
344	283 304 120 241
345	258 85 52 288
346	227 2 40 27
347	12 74 317 88
348	249 99 223 324
349	158 204 392 398
350	31 255 284 165
351	107 330 124 98
352	280 301 85 251
353	115 193 251 250
354	256 172 84 284
355	285 31 249 394
356	144 155 1 174
357	371 174 275 199
358	199 389 138 235
359	199 141 388 139
360	397 181 69 163
361	174 25 75 268
362	358 141 339 45
363	354 184 186 21
364	135 10 375 180
365	386 338 56 270
366	48 308 28 140
367	76 174 398 315
368	292 82 98 137
369	347 346 365 182
370	233 283 214 171
371	378 164 299 310
372	224 36 123 321
373	230 63 4 372
374	226 171 358 361
375	195 183 24 333
376	9 334 72 373
377	390 16 289 139
378	284 98 283 135
379	327 350 203 211
380	93 324 288 100
381	42 162 97 235
382	341 98 1 170
383	69 44 206 322
384	5 250 220 315
385	126 163 64 1
386	63 155 329 82
387	37 334 17 274
388	368 29 323 355
389	84 33 196 189
390	293 42 82 80
391	375 339 16 386
392	123 104 311 279
393	24 317 242 306
394	56 341 128 216
395	43 322 310 5
396	180 191 310 206
397	182 226 298 143
398	189 94 286 157
399	181 8 97 11
400	24 230 322 167
401	160 271 388 122
402	376 262 346 99
403	241 299 83 177
404	295 357 347 368
405	55 44 291 351
406	55 239 200 359
407	93 293 250 114
408	58 15 392 222
409	157 267 160 380
410	159 4 161 65
411	182 386 199 272
412	391 4 101 226
413	324 369 203 178
414	373 158 262 276
415	350 348 157 331
416	2 203 235 72
417	317 112 177 109
418	273 230 202 150
419	3 165 64 57
420	303 163 338 66
421	6 316 346 241
422	12 88 142 96
423	35 329 257 143
424	257 294 227 216
425	124 217 84 149
426	333 248 213 185
427	379 142 314 219
428	250 221 287 286
429	304 351 151 172
430	127 336 177 36
431	161 168 40 95
432	46 366 186 340
433	363 20 157 223
434	210 29 295 349
435	18 124 93 34
436	292 173 159 381
437	172 107 36 137
438	196 381 237 324
439	182 45 128 373
440	83 98 372 81
441	396 65 307 326
442	82 84 87 83
443	170 145 312 66
444	354 120 360 77
445	102 388 56 234
446	54 295 354 176
447	261 294 371 99
448	196 16 109 269
449	248 301 270 263
450	350 28 318 399
451	55 31 297 129
452	177 98 266 355
453	180 178 109 200
454	354 232 386 324
455	394 228 274 256
456	352 25 228 77
457	279 55 91 339
458	287 72 50 30
459	237 12 261 356
460	5 229 213 294
461	385 92 323 354
462	164 160 1 39
463	180 262 205 287
464	206 187 271 151
465	157 143 348 296
466	368 50 213 348
467	7 264 315 395
468	25 274 117 67
469	392 92 138 187
470	328 158 321 147
471	165 264 156 237
472	104 25 171 16
473	51 309 208 377
474	236 1 332 330
475	347 301 225 345
476	198 147 262 209
477	220 95 179 144
478	92 335 181 180
479	75 243 140 348
480	205 104 197 264
481	362 56 365 92
482	23 72 369 142
483	271 21 111 66
484	301 12 50 172
485	286 83 313 30
486	362 167 3 257
487	110 386 35 317
488	286 81 161 129
489	173 278 270 98
490	18 344 275 369
491	335 181 274 233
492	364 133 117 366
493	306 300 102 210
494	236 259 284 298
495	330 240 257 15
496	62 224 90 234
497	231 280 251 183
498	89 373 262 264
499	337 131 371 160
500	112 314 11 276
501	5 155 240 227
502	171 319 94 373
503	308 37 280 253
504	200 204 161 339
505	250 3 322 360
506	259 254 386 44
507	180 190 129 173
508	7 292 37 71
509	267 7 380 223
510	5 362 193 385
511	60 368 391 213
512	240 154 102 250
513	346 32 276 66
514	225 209 42 119
515	59 192 344 92
516	112 260 283 103
517	56 351 168 40
518	125 163 79 59
519	400 85 140 13
520	200 258 129 395
521	14 76 72 44
522	88 378 95 184
523	295 111 185 38
524	268 80 185 45
525	126 164 297 161
526	112 146 391 115
527	37 100 285 361
528	263 114 380 318
529	53 329 99 150
530	196 219 266 179
531	214 75 296 188
532	210 165 235 179
533	143 208 156 22
534	49 206 325 138
535	233 290 306 164
536	331 92 112 295
537	123 245 342 143
538	37 106 131 55
539	51 177 170 210
540	232 150 18 187
541	306 230 57 71
542	169 299 368 180
543	38 336 134 261
544	198 5 396 302
545	52 100 301 113
546	381 252 199 61
547	359 223 362 343
548	118 303 257 26
549	357 111 335 35
550	311 255 232 345
551	203 299 88 78
552	81 378 95 379
553	321 369 324 327
554	49 207 365 78
555	56 273 12 253
556	371 151 320 237
557	149 228 219 252
558	239 386 333 384
559	322 9 57 354
560	298 32 83 217
561	250 163 50 264
562	21 39 27 316
563	116 133 322 82
564	197 267 199 66
565	95 4 108 57
566	188 91 400 361
567	119 298 328 171
568	223 133 47 282
569	175 349 370 397
570	259 33 240 1
571	310 371 199 308
572	77 235 376 29
573	135 48 257 219
574	223 289 219 200
575	287 264 285 87
576	308 104 63 256
577	231 358 284 133
578	260 300 100 230
579	380 289 249 197
580	295 159 175 291
581	175 83 67 26
582	219 258 310 302
583	264 379 353 364
584	178 3 370 212
585	320 83 77 101
586	317 97 362 7
587	276 217 131 263
588	41 354 393 277
589	241 68 186 31
590	268 292 334 248
591	359 40 212 106
592	194 360 309 308
593	282 270 196 194
594	108 270 87 55
595	21 360 271 130
596	87 191 12 108
597	112 301 14 237
598	100 374 233 170
599	27 152 261 291
600	285 85 263 16
601	57 391 36 358
602	9 203 129 199
603	236 374 129 387
604	34 310 399 66
605	262 316 24 343
606	124 252 310 202
607	78 151 140 110
608	257 237 363 270
609	44 212 36 341
610	114 284 48 136
611	296 289 31 259
612	318 392 387 279
613	287 373 282 237
614	294 347 30 209
615	242 70 113 7
616	163 255 191 345
617	251 49 81 182
618	392 87 259 171
619	348 166 349 64
620	4 304 33 42
621	232 126 178 145
622	192 56 164 390
623	276 243 309 15
624	150 55 63 51
625	309 9 61 146
626	65 17 139 156
627	292 250 283 135
628	400 71 157 216
629	290 365 225 129
630	86 61 158 14
631	45 15 1 373
632	193 53 322 123
633	37 100 214 157
634	226 294 207 122
635	192 228 62 389
636	36 105 144 292
637	309 217 274 187
638	251 299 165 274
639	36 10 386 286
640	319 152 184 74
641	75 307 67 313
642	87 383 53 150
643	387 108 135 168
644	76 236 123 115
645	38 147 397 113
646	188 203 56 169
647	303 105 188 307
648	249 105 142 399
649	170 81 46 327
650	181 290 101 123
651	216 301 173 18
652	247 398 170 126
653	309 273 32 386
654	117 378 118 74
655	150 319 360 131
656	113 158 210 96
657	243 265 110 392
658	180 62 251 200
659	3 27 299 362
660	290 383 211 298
661	178 95 64 278
662	81 33 122 331
663	234 100 252 359
664	47 357 36 311
665	138 350 106 159
666	192 310 371 40
667	149 22 344 95
668	91 1 184 217
669	176 207 334 13
670	256 343 154 221
671	330 261 59 195
672	232 375 29 218
673	177 233 159 119
674	338 381 32 35
675	219 211 31 63
676	225 184 30 80
677	96 5 264 171
678	23 390 142 339
679	369 32 149 192
680	51 208 69 381
681	32 319 186 296
682	366 116 69 83
683	195 187 114 326
684	377 116 181 83
685	387 243 305 115
686	368 378 119 208
687	142 210 278 64
688	32 187 23 218
689	90 188 323 51
690	294 178 205 96
691	78 289 302 166
