Class Times	20
Rooms	300
1	12
2	49
3	12
4	61
5	66
6	29
7	35
8	46
9	45
10	10
11	21
12	17
13	33
14	57
15	63
16	30
17	18
18	30
19	14
20	59
21	32
22	25
23	43
24	60
25	54
26	19
27	15
28	31
29	61
30	58
31	41
32	51
33	44
34	48
35	26
36	25
37	44
38	55
39	13
40	21
41	57
42	22
43	64
44	60
45	60
46	22
47	11
48	60
49	35
50	16
51	25
52	18
53	47
54	63
55	24
56	30
57	45
58	14
59	13
60	12
61	59
62	54
63	53
64	10
65	65
66	63
67	62
68	35
69	34
70	33
71	36
72	24
73	65
74	33
75	42
76	10
77	42
78	44
79	44
80	43
81	25
82	53
83	63
84	65
85	13
86	16
87	28
88	29
89	15
90	19
91	46
92	56
93	27
94	62
95	34
96	50
97	37
98	13
99	15
100	34
101	11
102	50
103	32
104	50
105	11
106	24
107	17
108	21
109	20
110	18
111	50
112	49
113	38
114	46
115	65
116	10
117	53
118	29
119	25
120	19
121	45
122	26
123	22
124	43
125	15
126	50
127	35
128	30
129	63
130	52
131	54
132	55
133	26
134	54
135	53
136	61
137	35
138	28
139	12
140	60
141	62
142	55
143	10
144	12
145	41
146	15
147	65
148	30
149	10
150	17
151	44
152	59
153	41
154	54
155	18
156	36
157	38
158	32
159	59
160	61
161	45
162	15
163	31
164	51
165	48
166	45
167	25
168	33
169	58
170	32
171	30
172	46
173	26
174	23
175	27
176	32
177	59
178	17
179	56
180	19
181	36
182	14
183	37
184	33
185	11
186	41
187	32
188	14
189	58
190	32
191	44
192	43
193	63
194	41
195	15
196	23
197	26
198	30
199	41
200	45
201	51
202	41
203	32
204	17
205	36
206	57
207	20
208	65
209	35
210	61
211	36
212	54
213	62
214	31
215	66
216	60
217	42
218	37
219	63
220	28
221	33
222	64
223	52
224	12
225	30
226	26
227	41
228	31
229	49
230	12
231	32
232	52
233	33
234	62
235	38
236	14
237	14
238	18
239	37
240	27
241	58
242	17
243	23
244	61
245	51
246	58
247	12
248	28
249	51
250	42
251	27
252	31
253	40
254	48
255	53
256	15
257	22
258	42
259	30
260	40
261	57
262	20
263	46
264	46
