Students	100
1	1 16 6 9
2	1 12 18 17
3	20 9 19 10
4	5 14 10 1
5	1 17 8 15
6	4 19 2 18
7	12 4 13 5
8	11 3 18 4
9	1 20 3 15
10	19 3 5 2
11	8 10 7 14
12	4 20 12 3
13	3 7 1 10
14	6 2 11 10
15	2 16 9 18
16	11 9 8 6
17	3 17 15 18
18	4 2 8 18
19	3 13 9 18
20	5 8 14 3
21	19 18 13 4
22	17 20 16 15
23	17 10 20 9
24	6 3 7 19
25	1 17 4 12
26	14 18 6 12
27	12 19 17 6
28	9 17 13 1
29	6 2 5 3
30	15 13 16 8
31	8 12 16 7
32	2 7 17 5
33	3 9 1 11
34	13 12 18 16
35	5 4 8 14
36	19 5 18 4
37	8 4 1 10
38	2 19 3 6
39	5 15 4 11
40	7 1 20 19
41	19 18 10 14
42	7 5 3 15
43	10 13 1 8
44	18 2 6 9
45	2 3 17 13
46	19 1 9 12
47	16 5 12 8
48	16 1 20 10
49	11 12 3 18
50	5 17 3 10
51	19 2 13 12
52	9 17 14 8
53	1 19 8 11
54	13 19 1 6
55	1 16 18 11
56	7 18 17 3
57	6 20 5 8
58	8 3 11 13
59	16 15 10 4
60	3 9 14 17
61	12 10 15 6
62	8 19 14 17
63	1 12 19 5
64	7 3 10 6
65	1 13 18 7
66	11 16 5 3
67	2 11 13 9
68	10 14 16 18
69	16 7 20 14
70	18 8 16 11
71	8 10 20 1
72	8 15 3 7
73	10 1 6 14
74	5 1 14 3
75	16 1 2 6
76	17 2 9 18
77	13 18 14 10
78	13 8 6 5
79	15 17 1 16
80	5 8 18 11
81	19 20 12 2
82	3 16 5 1
83	16 10 8 18
84	1 11 6 12
85	1 13 3 2
86	1 3 18 17
87	4 2 5 16
88	16 7 3 1
89	1 9 11 16
90	12 3 2 15
91	6 19 17 13
92	17 7 18 9
93	5 6 3 16
94	4 10 19 12
95	16 11 14 6
96	10 13 12 17
97	20 18 9 4
98	5 12 16 13
99	4 13 6 8
100	8 6 14 20
Students	100
1	7 18 3 1
2	17 12 7 19
3	8 16 9 12
4	13 6 1 3
5	16 2 5 20
6	14 16 8 15
7	16 12 7 6
8	9 7 11 1
9	13 4 10 2
10	13 1 2 3
11	9 10 14 20
12	19 16 7 6
13	18 20 3 9
14	2 20 11 12
15	5 2 16 8
16	13 8 15 7
17	6 10 18 20
18	11 13 19 2
19	10 18 13 7
20	5 1 13 16
21	6 7 1 14
22	8 17 1 6
23	18 11 15 9
24	5 20 1 17
25	13 16 6 20
26	1 15 6 7
27	19 13 1 5
28	9 4 2 8
29	16 11 3 13
30	6 18 17 11
31	4 5 10 7
32	6 3 11 5
33	17 16 9 11
34	6 10 3 1
35	15 4 20 18
36	15 10 11 4
37	18 3 11 9
38	2 4 6 19
39	18 11 19 7
40	7 9 12 8
41	7 4 17 12
42	11 16 14 8
43	13 5 1 7
44	3 10 14 6
45	2 6 1 15
46	6 10 20 9
47	18 19 2 10
48	17 14 3 16
49	15 14 17 16
50	3 18 7 13
51	19 3 12 17
52	9 16 2 8
53	10 19 20 4
54	15 3 13 5
55	19 7 14 8
56	18 11 13 5
57	13 14 8 18
58	2 17 9 14
59	17 2 4 10
60	8 1 12 2
61	6 12 13 18
62	17 12 14 3
63	15 6 19 2
64	8 17 13 12
65	12 18 20 4
66	3 7 15 4
67	5 4 11 19
68	5 20 11 18
69	12 14 17 9
70	13 9 2 17
71	13 17 16 18
72	17 11 14 15
73	5 7 12 9
74	8 6 15 20
75	13 1 4 14
76	11 2 13 18
77	5 10 1 11
78	3 9 5 12
79	5 19 14 4
80	5 18 19 13
81	20 19 11 9
82	2 13 11 3
83	18 6 3 12
84	10 12 18 19
85	4 8 13 1
86	11 13 7 6
87	19 5 17 12
88	17 9 18 20
89	8 2 15 20
90	12 20 5 7
91	20 5 13 18
92	13 7 15 18
93	14 20 9 3
94	15 6 2 10
95	11 18 19 14
96	20 11 7 16
97	16 11 13 7
98	8 18 4 13
99	1 5 6 16
100	20 13 16 8
