Class Times	10
Rooms	5
1	19
2	27
3	957
4	435
5	573
Classes	20
Teachers	10
1	9
2	6
3	3
4	5
5	1
6	3
7	9
8	4
9	7
10	2
11	6
12	7
13	10
14	4
15	2
16	8
17	1
18	5
19	8
20	10
Class Times	10
Rooms	5
1	334
2	307
3	488
4	240
5	540
Classes	20
Teachers	10
1	4
2	10
3	2
4	7
5	1
6	8
7	2
8	6
9	6
10	8
11	5
12	7
13	10
14	5
15	3
16	9
17	1
18	3
19	9
20	4
Class Times	10
Rooms	5
1	372
2	425
3	331
4	64
5	847
Classes	20
Teachers	10
1	2
2	3
3	8
4	5
5	4
6	9
7	2
8	8
9	7
10	7
11	10
12	10
13	5
14	6
15	1
16	1
17	4
18	3
19	9
20	6
Class Times	10
Rooms	5
1	247
2	641
3	503
4	357
5	627
Classes	20
Teachers	10
1	4
2	4
3	2
4	8
5	8
6	3
7	9
8	1
9	6
10	2
11	5
12	9
13	1
14	6
15	5
16	7
17	10
18	3
19	7
20	10
Class Times	10
Rooms	5
1	882
2	116
3	53
4	739
5	928
Classes	20
Teachers	10
1	9
2	2
3	2
4	4
5	6
6	7
7	9
8	10
9	10
10	4
11	7
12	8
13	8
14	5
15	3
16	6
17	3
18	1
19	1
20	5
Class Times	10
Rooms	5
1	528
2	634
3	790
4	822
5	596
Classes	20
Teachers	10
1	1
2	4
3	9
4	6
5	5
6	4
7	10
8	2
9	10
10	5
11	6
12	2
13	9
14	8
15	7
16	7
17	8
18	1
19	3
20	3
Class Times	10
Rooms	5
1	34
2	159
3	964
4	539
5	775
Classes	20
Teachers	10
1	4
2	7
3	5
4	7
5	1
6	6
7	6
8	9
9	9
10	5
11	10
12	1
13	10
14	2
15	2
16	4
17	8
18	3
19	3
20	8
Class Times	10
Rooms	5
1	178
2	912
3	81
4	437
5	520
Classes	20
Teachers	10
1	4
2	10
3	7
4	7
5	8
6	8
7	9
8	5
9	5
10	2
11	2
12	1
13	1
14	9
15	10
16	4
17	6
18	3
19	6
20	3
Class Times	10
Rooms	5
1	659
2	669
3	662
4	580
5	946
Classes	20
Teachers	10
1	5
2	2
3	4
4	1
5	3
6	1
7	5
8	9
9	9
10	10
11	4
12	6
13	8
14	10
15	2
16	3
17	7
18	7
19	6
20	8
Class Times	10
Rooms	5
1	375
2	786
3	781
4	15
5	187
Classes	20
Teachers	10
1	4
2	8
3	4
4	7
5	2
6	5
7	3
8	2
9	5
10	9
11	1
12	7
13	1
14	3
15	9
16	10
17	8
18	10
19	6
20	6
Class Times	10
Rooms	5
1	732
2	750
3	779
4	30
5	617
Classes	20
Teachers	10
1	3
2	2
3	5
4	3
5	5
6	1
7	1
8	4
9	9
10	6
11	2
12	10
13	6
14	4
15	8
16	9
17	7
18	7
19	10
20	8
Class Times	10
Rooms	5
1	162
2	716
3	492
4	981
5	887
Classes	20
Teachers	10
1	9
2	2
3	2
4	10
5	9
6	8
7	6
8	7
9	6
10	10
11	5
12	1
13	1
14	5
15	8
16	3
17	7
18	3
19	4
20	4
Class Times	10
Rooms	5
1	987
2	574
3	294
4	536
5	58
Classes	20
Teachers	10
1	1
2	5
3	7
4	3
5	5
6	7
7	2
8	2
9	1
10	3
11	10
12	10
13	4
14	8
15	6
16	4
17	8
18	6
19	9
20	9
Class Times	10
Rooms	5
1	56
2	682
3	374
4	492
5	193
Classes	20
Teachers	10
1	4
2	10
3	5
4	6
5	3
6	9
7	5
8	1
9	9
10	4
11	2
12	10
13	7
14	6
15	8
16	8
17	2
18	7
19	1
20	3
