Students	1000
1	20 9 5 17
2	20 9 3 7
3	6 18 3 15
4	8 11 10 14
5	7 13 6 8
6	20 4 18 7
7	13 2 8 10
8	12 11 19 10
9	6 13 5 8
10	2 9 3 17
11	13 3 8 1
12	20 15 6 8
13	13 10 6 15
14	14 2 7 8
15	7 16 1 14
16	1 16 6 2
17	2 14 1 16
18	13 1 3 11
19	10 6 16 14
20	16 1 6 19
21	6 19 9 17
22	7 9 8 16
23	12 2 18 15
24	17 12 13 18
25	8 19 2 9
26	20 14 9 8
27	1 3 4 10
28	20 7 13 15
29	10 17 8 11
30	15 12 17 9
31	20 9 10 3
32	12 9 18 10
33	15 6 11 19
34	5 4 10 17
35	10 18 9 8
36	5 2 15 3
37	6 8 12 16
38	3 5 16 11
39	4 9 3 12
40	3 17 5 11
41	14 17 13 15
42	5 17 4 12
43	8 14 16 11
44	17 10 4 5
45	12 20 8 2
46	6 9 16 10
47	5 7 3 20
48	15 2 4 13
49	12 19 17 10
50	2 1 11 12
51	17 18 6 13
52	9 11 10 2
53	16 2 4 3
54	2 10 7 13
55	1 14 11 2
56	19 5 13 12
57	4 20 2 5
58	15 8 20 11
59	1 16 10 7
60	6 16 17 19
61	20 10 4 9
62	1 3 15 18
63	18 9 7 6
64	15 20 1 16
65	13 15 11 16
66	14 19 8 20
67	18 2 14 15
68	18 3 9 6
69	3 9 11 10
70	6 16 12 10
71	17 10 11 9
72	7 14 12 11
73	5 8 3 16
74	16 1 3 18
75	18 1 9 5
76	7 14 12 18
77	2 14 18 16
78	16 2 18 13
79	13 17 1 12
80	1 4 13 9
81	2 12 8 15
82	8 15 1 11
83	16 14 9 4
84	14 17 8 12
85	10 8 19 9
86	13 11 12 2
87	14 5 8 10
88	20 8 6 1
89	18 9 15 1
90	13 16 15 7
91	20 8 3 2
92	10 13 18 20
93	20 17 8 1
94	18 20 13 5
95	2 13 10 4
96	20 10 14 17
97	19 4 20 10
98	11 14 18 8
99	10 8 20 18
100	2 17 6 4
101	2 9 11 5
102	6 11 4 10
103	7 8 19 15
104	13 5 10 15
105	13 1 7 5
106	2 10 9 15
107	17 8 15 13
108	12 19 7 20
109	10 13 8 16
110	7 15 20 19
111	10 3 11 20
112	4 19 16 10
113	14 5 10 18
114	18 20 1 16
115	10 14 2 7
