Students	1000
1	227 889 8 139
2	353 692 513 842
3	986 657 585 881
4	159 647 833 336
5	405 19 589 938
6	348 602 414 604
7	101 900 864 183
8	637 540 68 109
9	389 453 93 62
10	416 9 418 392
11	490 91 985 653
12	956 101 404 478
13	387 666 456 717
14	302 570 126 170
15	942 502 172 626
16	489 863 645 713
17	929 138 647 377
18	855 640 868 484
19	33 405 404 120
20	70 379 67 888
21	474 887 602 760
22	181 742 135 628
23	873 927 895 221
24	394 744 186 842
25	143 70 267 925
26	540 141 710 415
27	712 238 996 852
28	183 134 66 913
29	119 6 941 341
30	84 173 750 196
31	87 44 839 420
32	335 642 542 735
33	511 182 362 44
34	784 210 311 74
35	398 570 285 77
36	528 918 1000 658
37	692 85 216 248
38	141 423 89 478
39	91 507 993 584
40	1000 394 573 584
41	419 935 37 23
42	534 722 371 531
43	845 622 676 14
44	487 103 901 280
45	261 663 653 898
46	297 524 441 875
47	435 989 866 791
48	528 376 827 461
49	119 698 648 511
50	874 249 967 897
51	170 51 743 788
52	623 915 651 190
53	874 414 524 662
54	656 678 104 516
55	75 966 858 484
56	955 35 832 406
57	453 308 498 384
58	340 572 316 960
59	220 947 805 423
60	658 79 259 632
61	841 238 127 900
62	904 202 197 217
63	863 550 163 441
64	848 279 475 143
65	828 314 213 569
66	563 675 755 79
67	310 125 283 426
68	892 583 479 175
69	528 269 664 198
70	284 206 947 949
71	663 873 712 583
72	634 228 984 950
73	948 385 266 323
74	717 733 452 856
75	847 230 351 444
76	560 49 271 586
77	150 318 542 320
78	644 512 939 331
79	603 525 644 117
80	113 837 1000 175
81	792 400 164 474
82	286 589 335 80
83	329 130 364 507
84	637 220 622 603
85	68 237 574 353
86	60 306 848 642
87	951 541 824 502
88	673 876 261 888
89	356 714 797 112
90	655 210 746 428
91	223 119 572 354
92	577 63 204 105
93	88 705 597 577
94	505 37 144 852
95	118 433 883 755
96	686 770 368 188
97	641 97 447 242
98	8 644 315 449
99	223 414 624 336
100	499 978 383 168
101	272 948 993 524
102	105 47 261 175
103	294 785 300 584
104	603 815 158 643
105	399 854 950 895
106	45 955 561 310
107	385 459 352 410
108	311 629 77 526
109	742 880 630 761
110	450 442 748 634
111	211 886 21 860
112	237 238 175 387
113	132 611 534 191
114	20 654 709 813
115	647 525 345 707
116	278 882 961 920
117	997 171 707 867
118	475 700 884 156
119	538 926 107 909
120	735 643 730 352
121	843 289 797 863
122	588 111 235 184
123	218 112 802 182
124	528 359 518 840
125	229 738 4 122
126	403 522 276 678
127	400 228 925 151
128	748 298 69 148
129	48 742 364 736
130	977 462 634 129
131	354 654 176 854
132	3 105 441 169
133	141 166 57 404
134	263 411 922 778
135	525 47 364 555
136	288 804 135 85
137	527 583 689 667
138	965 499 906 657
139	8 20 101 119
140	351 866 877 214
141	779 552 725 794
142	467 504 244 321
143	531 407 595 441
144	776 613 423 849
145	348 674 528 434
146	187 51 270 180
147	867 325 102 652
148	256 484 26 638
149	853 278 685 381
150	954 129 607 628
151	827 496 865 107
152	782 920 439 307
153	629 799 568 90
154	248 355 595 375
155	252 527 594 385
156	713 904 583 777
157	75 203 321 783
158	407 605 793 666
159	653 108 819 784
160	959 411 256 971
161	565 11 711 273
162	154 911 60 320
163	417 341 663 69
164	742 293 526 866
165	994 789 537 870
166	26 783 964 750
167	744 641 869 430
168	664 376 661 596
169	200 154 532 967
170	567 327 532 400
171	709 942 135 923
172	46 772 757 644
173	837 649 968 193
174	377 824 585 273
175	127 136 84 853
176	774 690 410 432
177	458 61 379 225
178	364 654 168 476
179	119 974 425 858
180	109 263 88 864
181	853 17 113 628
182	801 710 827 951
183	544 877 128 669
184	194 151 69 609
185	930 931 649 350
186	26 705 739 832
187	707 361 679 789
188	233 951 72 194
189	663 652 867 712
190	895 2 941 88
191	3 39 727 585
192	550 682 967 181
193	908 375 716 29
194	329 872 179 388
195	406 410 696 520
196	21 853 187 13
197	108 661 970 205
198	552 329 104 362
