Students	25
1	17 14 19 2
2	10 8 4 15
3	18 1 5 7
4	19 4 8 2
5	1 2 7 9
6	2 19 4 3
7	1 8 5 18
8	5 10 14 16
9	12 18 17 10
10	1 12 18 4
11	7 3 5 20
12	5 15 16 1
13	20 18 8 17
14	11 5 3 7
15	12 1 11 16
16	5 16 13 11
17	8 13 9 5
18	3 4 13 2
19	8 19 10 14
20	3 7 1 5
21	17 5 7 1
22	20 7 17 6
23	18 11 13 10
24	7 5 18 11
25	2 10 6 20
Students	25
1	15 3 8 5
2	7 19 6 3
3	13 10 11 18
4	2 12 3 11
5	12 18 7 14
6	18 19 2 3
7	1 12 20 11
8	2 17 4 7
9	11 12 1 4
10	14 11 16 1
11	19 12 8 20
12	5 12 14 8
13	8 19 13 1
14	18 10 20 8
15	6 11 12 14
16	14 4 1 19
17	13 16 15 12
18	10 5 14 1
19	18 17 16 4
20	3 8 17 1
21	9 20 17 10
22	7 9 6 10
23	3 11 14 4
24	15 4 9 12
25	9 17 16 2
