Students	25
1	14 9 12 3
2	14 19 9 20
3	2 20 8 11
4	2 8 5 20
5	7 5 8 18
6	9 13 2 14
7	2 9 1 20
8	3 14 17 10
9	9 19 7 13
10	7 12 13 14
11	6 13 1 8
12	7 18 10 2
13	2 3 14 4
14	16 14 7 5
15	4 15 17 13
16	9 12 8 17
17	17 19 14 13
18	20 14 16 5
19	7 16 12 17
20	17 11 16 15
21	12 14 11 15
22	3 1 18 5
23	16 9 12 20
24	4 13 17 2
25	14 16 20 2
Students	25
1	3 5 6 14
2	9 16 20 14
3	17 9 2 14
4	11 19 16 14
5	14 3 2 1
6	5 2 8 12
7	10 15 8 4
8	1 8 10 11
9	1 14 12 18
10	20 10 4 5
11	15 20 9 16
12	13 8 3 14
13	10 3 15 19
14	16 18 13 14
15	1 18 9 3
16	20 19 11 4
17	1 19 4 3
18	8 15 9 20
19	11 20 5 1
20	15 6 17 9
21	9 20 18 6
22	13 5 9 11
23	3 11 14 9
24	5 18 7 6
25	17 1 9 20
