Students	1000
1	142 148 6 52
2	65 180 195 173
3	153 101 203 215
4	56 138 235 246
5	127 15 240 231
6	195 201 93 126
7	71 236 64 240
8	162 63 84 223
9	149 234 231 66
10	48 146 104 212
11	22 117 55 208
12	51 211 19 125
13	103 230 89 246
14	226 112 151 38
15	99 18 143 66
16	61 152 88 175
17	92 199 4 8
18	133 5 192 170
19	142 57 103 215
20	73 60 239 63
21	66 223 165 32
22	218 81 249 72
23	65 107 222 55
24	110 77 98 128
25	178 175 222 111
26	139 17 53 206
27	141 193 109 126
28	183 19 233 201
29	198 79 174 38
30	92 248 250 91
31	244 150 140 228
32	232 116 178 126
33	112 147 53 187
34	121 109 232 57
35	217 243 230 57
36	66 88 165 173
37	45 91 165 244
38	163 239 231 172
39	151 173 133 120
40	227 203 97 44
41	71 33 155 232
42	173 113 134 87
43	144 28 234 14
44	33 241 136 243
45	92 7 68 204
46	105 127 63 230
47	193 116 240 152
48	195 137 65 59
49	63 32 15 192
50	57 232 249 224
51	201 106 87 60
52	93 156 188 237
53	39 119 111 35
54	199 5 136 155
55	98 203 114 77
56	37 203 83 116
57	154 67 217 225
58	83 48 57 174
59	110 159 184 63
60	109 195 80 100
61	42 149 218 143
62	48 221 23 74
63	114 225 119 14
64	208 27 205 143
65	60 78 105 112
66	21 226 246 42
67	76 247 151 61
68	12 185 80 216
69	202 215 226 31
70	73 162 71 113
71	118 122 137 130
72	101 152 126 71
73	177 48 112 149
74	139 204 53 141
75	113 195 108 106
76	94 46 219 154
77	172 29 97 100
78	154 139 233 195
79	214 195 36 168
80	153 249 245 83
81	156 160 27 148
82	118 49 234 67
83	79 155 7 1
84	88 109 82 197
85	109 53 145 130
86	228 239 89 170
87	105 49 50 180
88	51 75 93 205
89	157 226 72 178
90	224 87 53 156
91	33 211 202 64
92	156 246 19 45
93	134 232 114 72
94	192 22 199 133
95	110 145 180 103
96	162 55 237 144
97	158 9 157 186
98	112 198 153 200
99	66 163 100 43
100	165 191 150 44
101	144 180 25 15
102	8 189 156 63
103	197 91 7 39
104	62 119 41 207
105	185 56 201 98
106	128 140 192 47
107	200 102 28 48
108	121 167 42 95
109	119 199 128 215
110	119 92 214 168
111	167 39 25 130
112	33 162 163 214
113	94 178 139 48
114	4 26 119 206
115	9 165 197 146
116	148 213 175 94
117	44 246 108 50
118	62 218 110 39
119	106 74 131 139
120	170 6 151 7
121	41 194 231 95
122	38 90 210 59
123	82 125 215 118
124	66 83 39 61
125	236 166 29 144
126	11 222 5 231
127	204 148 122 202
128	241 25 181 235
129	65 64 60 175
130	107 242 22 67
131	151 155 207 68
132	233 30 178 2
133	44 90 240 64
134	171 169 64 11
135	95 238 60 161
136	59 217 182 133
137	53 104 78 95
138	180 111 137 4
139	188 183 40 130
140	115 72 142 88
141	204 91 101 45
142	240 6 179 160
143	110 79 35 224
144	239 116 183 5
145	195 179 85 177
146	250 152 208 54
147	7 250 189 155
148	167 198 85 116
149	59 247 243 237
150	19 103 16 135
151	119 127 7 36
152	208 175 239 174
153	104 217 172 219
154	32 149 80 233
155	62 17 69 76
156	52 213 121 72
157	3 107 135 58
158	92 6 34 15
159	150 246 177 170
160	104 28 31 165
161	14 187 40 133
162	178 103 155 157
163	105 201 193 108
164	37 17 213 167
165	239 226 223 209
166	200 170 228 147
167	52 127 25 132
168	77 64 157 155
169	215 206 154 183
170	1 88 35 16
171	10 56 62 222
172	214 26 16 28
173	205 44 212 172
174	138 167 186 49
175	215 187 70 176
176	66 13 80 195
177	18 90 117 150
178	136 66 81 201
179	168 140 65 165
180	202 45 54 216
181	186 64 63 130
182	43 205 182 159
183	209 155 218 114
184	156 121 59 53
185	74 48 175 135
186	93 210 76 186
187	140 212 86 50
188	68 104 222 141
189	246 249 188 141
190	75 139 88 156
191	179 82 190 56
192	89 195 207 60
193	8 33 153 201
194	239 115 250 164
195	225 191 99 118
196	31 246 100 80
197	101 37 108 125
198	234 46 155 88
199	115 161 79 124
200	182 49 81 34
201	18 48 166 67
202	43 179 101 152
203	99 155 69 176
204	169 64 217 20
205	69 241 245 50
206	87 55 201 213
207	143 222 15 81
208	97 137 2 220
209	123 138 190 102
210	89 21 154 58
211	82 224 40 195
212	195 63 126 159
213	139 206 64 33
214	192 60 221 243
215	175 6 59 231
216	144 50 112 132
217	104 195 10 130
218	13 238 215 7
219	145 68 131 39
220	218 248 106 64
221	106 98 93 84
222	55 78 155 42
223	179 157 190 53
224	205 74 83 202
225	81 3 228 135
226	139 37 234 54
227	5 106 65 60
228	5 233 69 37
229	204 232 22 78
230	145 170 50 168
231	113 242 167 205
