Students	1000
1	40 28 55 7
2	43 92 89 67
3	88 93 22 90
4	11 3 2 36
5	97 22 88 72
6	52 92 47 40
7	52 31 4 29
8	41 65 20 52
9	19 20 65 94
10	45 79 28 76
11	19 5 38 44
12	40 77 32 61
13	34 77 72 81
14	30 51 44 35
15	71 95 33 1
16	83 9 30 21
17	13 75 61 65
18	24 29 10 8
19	15 88 95 36
20	49 40 52 25
21	36 95 24 51
22	18 64 75 9
23	40 18 41 63
24	58 99 29 84
25	100 7 15 87
26	31 59 92 12
27	21 25 1 52
28	11 75 41 63
29	13 26 93 20
30	14 27 67 11
31	91 33 80 85
32	68 59 13 89
33	35 64 100 23
34	56 15 30 14
35	93 60 26 53
36	62 17 47 51
37	55 89 87 94
38	97 63 35 27
39	90 12 15 46
40	44 23 59 48
41	11 64 61 70
42	73 84 71 59
43	14 43 48 1
44	100 70 56 5
45	22 14 7 15
46	13 9 43 27
47	85 98 48 91
48	37 81 26 55
49	18 44 8 95
50	74 88 10 27
51	63 40 17 91
52	89 11 24 92
53	43 4 11 1
54	64 54 7 59
55	32 24 17 55
56	80 93 90 4
57	100 18 75 58
58	8 31 76 98
59	12 35 46 14
60	50 51 58 65
61	81 53 12 49
62	71 16 44 92
63	6 24 30 80
64	40 5 79 20
65	92 49 50 97
66	42 79 67 22
67	24 62 15 31
68	92 83 31 100
69	13 35 46 5
70	34 50 60 30
71	26 52 27 85
72	100 19 93 87
73	78 65 70 99
74	21 88 45 48
75	67 93 94 55
76	82 81 5 79
77	56 4 26 57
78	82 8 40 6
79	3 49 19 73
80	68 65 69 63
81	47 20 65 74
82	61 74 17 1
83	64 79 60 71
84	28 48 95 68
85	90 54 68 50
86	41 100 53 22
87	54 53 61 46
88	95 73 11 20
89	32 50 6 21
90	43 83 52 11
91	64 65 58 96
92	67 44 13 33
93	60 22 78 21
94	61 98 55 72
95	41 58 91 19
96	59 44 69 85
97	22 81 96 24
98	34 60 41 31
99	92 31 80 70
100	41 71 49 25
101	97 58 33 24
102	83 98 78 29
103	15 71 51 47
104	51 50 42 16
105	84 6 25 1
106	41 6 9 73
107	100 56 15 36
108	11 54 93 28
109	22 46 7 95
110	100 72 10 56
111	90 99 72 13
112	29 94 97 20
113	92 5 38 53
114	86 8 59 54
115	10 99 69 52
116	78 39 87 85
117	94 1 45 8
118	86 95 94 75
119	46 9 10 77
120	18 58 15 23
121	28 26 78 4
122	84 8 81 12
123	12 38 80 13
124	29 100 91 82
125	32 8 99 33
126	33 90 97 94
127	52 94 16 2
128	56 35 3 18
129	10 29 19 93
130	88 67 82 23
131	9 85 59 27
132	36 39 6 61
133	57 74 88 40
134	86 79 85 91
135	86 66 83 71
136	23 97 1 52
