Class Times	10
Rooms	5
1	209
2	390
3	501
4	733
5	25
Classes	20
Teachers	10
1	1
2	2
3	9
4	10
5	1
6	5
7	10
8	2
9	8
10	9
11	7
12	3
13	5
14	6
15	8
16	7
17	4
18	3
19	6
20	4
Class Times	10
Rooms	5
1	602
2	175
3	788
4	234
5	921
Classes	20
Teachers	10
1	6
2	4
3	3
4	10
5	9
6	8
7	3
8	1
9	7
10	9
11	5
12	8
13	1
14	4
15	6
16	2
17	10
18	2
19	5
20	7
Class Times	10
Rooms	5
1	718
2	919
3	218
4	549
5	762
Classes	20
Teachers	10
1	9
2	9
3	4
4	3
5	4
6	2
7	3
8	5
9	6
10	8
11	6
12	10
13	7
14	8
15	7
16	10
17	5
18	2
19	1
20	1
Class Times	10
Rooms	5
1	200
2	989
3	586
4	677
5	262
Classes	20
Teachers	10
1	9
2	5
3	2
4	3
5	6
6	4
7	7
8	6
9	4
10	8
11	2
12	3
13	5
14	9
15	7
16	1
17	10
18	1
19	8
20	10
Class Times	10
Rooms	5
1	535
2	856
3	602
4	357
5	654
Classes	20
Teachers	10
1	3
2	1
3	3
4	5
5	2
6	9
7	1
8	4
9	7
10	7
11	6
12	5
13	9
14	4
15	6
16	10
17	10
18	8
19	2
20	8
Class Times	10
Rooms	5
1	234
2	439
3	632
4	65
5	915
Classes	20
Teachers	10
1	6
2	3
3	6
4	3
5	8
6	1
7	9
8	7
9	9
10	2
11	10
12	2
13	7
14	10
15	4
16	5
17	5
18	8
19	1
20	4
Class Times	10
Rooms	5
1	806
2	742
3	551
4	482
5	754
Classes	20
Teachers	10
1	7
2	2
3	1
4	3
5	4
6	9
7	3
8	1
9	8
10	5
11	8
12	2
13	7
14	4
15	5
16	6
17	9
18	6
19	10
20	10
Class Times	10
Rooms	5
1	926
2	338
3	497
4	296
5	490
Classes	20
Teachers	10
1	9
2	8
3	1
4	8
5	2
6	3
7	6
8	10
9	9
10	7
11	7
12	10
13	3
14	2
15	5
16	5
17	6
18	4
19	4
20	1
Class Times	10
Rooms	5
1	300
2	606
3	150
4	983
5	714
Classes	20
Teachers	10
1	9
2	8
3	6
4	3
5	10
6	9
7	6
8	4
9	5
10	8
11	7
12	4
13	5
14	10
15	2
16	3
17	7
18	2
19	1
20	1
Class Times	10
Rooms	5
1	405
2	606
3	980
4	469
5	127
Classes	20
Teachers	10
1	7
2	2
3	7
4	5
5	4
6	5
7	1
8	1
9	4
10	6
11	10
12	6
13	2
14	8
15	3
16	10
17	9
18	9
19	3
20	8
Class Times	10
Rooms	5
1	14
2	666
3	248
4	210
5	66
Classes	20
Teachers	10
1	1
2	6
3	9
4	6
5	1
6	4
7	5
8	3
9	9
10	3
11	4
12	7
13	7
14	8
15	5
16	2
17	10
18	2
19	10
20	8
Class Times	10
Rooms	5
1	968
2	432
3	662
4	679
5	757
Classes	20
Teachers	10
1	8
2	3
3	10
4	6
5	10
6	5
7	6
8	5
9	2
10	4
11	3
12	2
13	8
14	4
15	9
16	1
17	1
18	7
19	7
20	9
Class Times	10
Rooms	5
1	875
2	449
3	905
4	462
5	980
Classes	20
Teachers	10
1	7
2	9
3	1
4	7
5	6
6	4
7	5
8	8
9	5
10	2
11	3
12	8
13	10
14	6
15	3
16	1
17	10
18	4
19	9
20	2
Class Times	10
Rooms	5
1	727
2	280
3	760
4	784
5	191
Classes	20
Teachers	10
1	5
2	4
3	1
4	8
5	2
6	7
7	8
8	9
9	7
10	4
11	1
12	10
13	10
14	6
15	2
16	5
17	9
18	3
19	6
20	3
