Students	250
1	4 6 3 13
2	15 1 16 13
3	14 13 2 9
4	20 17 12 18
5	17 12 19 7
6	8 17 3 5
7	18 17 20 16
8	14 9 5 8
9	7 20 17 19
10	9 6 19 4
11	15 10 7 13
12	16 9 1 5
13	1 9 6 20
14	17 8 14 4
15	7 16 12 11
16	3 4 19 11
17	12 10 18 5
18	8 15 9 6
19	18 6 15 4
20	12 18 5 10
21	5 13 9 14
22	10 14 11 1
23	1 6 17 19
24	9 15 8 20
25	2 19 15 7
26	6 10 8 11
27	18 16 15 5
28	3 18 12 17
29	8 19 12 17
30	8 18 9 4
31	7 20 14 18
32	11 14 20 4
33	15 19 7 11
34	14 18 17 7
35	13 6 12 11
36	15 3 19 10
37	2 19 9 8
38	6 18 3 11
39	14 17 10 1
40	18 6 14 10
41	6 14 4 9
42	10 7 17 15
43	16 15 2 5
44	9 19 17 2
45	18 12 14 11
46	13 16 3 7
47	10 2 20 12
48	7 16 19 20
49	9 3 2 19
50	15 18 8 17
51	13 7 12 16
52	20 4 12 19
53	11 5 17 3
54	7 9 17 13
55	4 1 10 8
56	6 15 3 7
57	9 12 8 6
58	9 11 18 17
59	19 1 13 12
60	4 3 8 18
61	10 1 13 2
62	16 12 13 2
63	19 1 3 20
64	7 3 20 13
65	4 16 2 5
66	4 10 8 17
67	10 7 11 15
68	6 18 7 8
69	10 3 8 16
70	12 9 18 6
71	2 10 15 1
72	19 13 11 7
73	6 14 5 1
74	12 20 5 10
75	4 2 7 17
76	19 14 8 9
77	13 19 11 1
78	12 10 18 9
79	13 5 1 10
80	7 11 14 13
81	15 12 17 1
82	15 12 7 20
83	11 14 13 7
84	1 17 15 13
85	4 20 9 17
86	15 9 12 13
87	7 8 5 14
88	6 17 4 20
89	13 12 2 8
90	5 11 17 1
91	4 13 11 8
92	3 6 16 20
93	5 9 4 15
94	16 18 14 3
95	7 18 1 3
96	1 15 13 17
97	20 7 6 13
98	15 12 4 20
99	19 15 20 8
100	20 5 18 7
101	6 14 3 20
102	19 10 13 4
103	3 18 1 10
104	19 10 17 14
105	6 13 1 14
106	8 5 18 4
107	12 16 18 15
108	14 1 10 11
109	18 15 16 2
110	11 18 19 3
111	1 19 4 2
112	8 4 3 13
113	18 19 9 2
114	14 13 2 10
115	16 2 20 3
116	20 7 14 10
117	4 5 1 19
118	8 18 12 14
119	8 10 7 12
120	8 13 10 2
121	14 15 6 10
122	6 18 16 1
123	18 19 10 15
124	16 10 5 3
125	18 16 9 20
126	2 17 18 13
127	11 10 17 12
128	15 17 12 7
129	9 18 11 16
130	14 10 17 2
131	1 10 7 6
132	2 16 11 7
133	10 17 15 1
134	3 17 8 12
135	5 20 15 2
136	1 7 4 16
137	2 5 11 3
138	20 12 3 4
139	12 2 5 4
140	13 1 2 18
141	2 6 11 13
142	8 3 2 6
143	18 15 10 8
144	20 1 7 12
145	3 2 8 10
146	9 13 3 1
147	7 14 12 16
148	7 11 1 5
149	20 3 17 16
150	15 4 1 16
151	18 1 16 17
152	19 20 15 18
153	5 8 2 6
154	1 13 6 11
155	12 13 4 8
156	17 8 1 20
157	14 5 1 11
158	19 6 17 7
159	11 1 4 13
160	17 11 6 7
161	1 17 18 15
162	13 15 5 11
163	10 17 16 3
164	11 18 12 8
165	14 5 10 11
166	14 20 12 9
167	18 16 6 8
168	9 19 17 11
169	3 18 19 14
170	9 8 20 7
171	1 13 11 20
172	3 10 16 11
173	14 18 16 12
174	10 11 2 6
175	1 4 15 5
176	5 15 7 2
177	1 8 5 7
178	3 16 12 19
179	17 6 18 7
180	13 11 9 16
181	6 2 20 12
182	8 16 18 3
183	10 15 12 4
184	20 8 17 3
185	16 5 19 12
186	3 20 11 17
187	14 7 8 6
188	10 3 12 14
189	20 7 10 18
190	18 19 7 6
191	4 17 13 12
192	2 9 1 17
193	6 17 2 20
194	17 2 9 19
195	1 12 16 17
196	8 16 10 19
197	16 17 6 11
198	7 13 2 15
199	14 9 13 18
200	1 17 18 20
201	5 18 11 13
202	2 8 13 3
203	3 4 8 19
204	2 19 3 8
205	12 16 8 18
206	1 5 8 17
207	3 14 17 10
208	7 4 16 9
209	3 14 16 18
210	16 15 14 1
211	1 5 11 2
212	16 6 4 1
213	15 5 10 12
214	8 16 12 15
215	1 8 2 16
216	6 9 11 13
217	8 5 7 3
218	10 2 9 14
219	4 10 5 15
220	14 17 13 19
221	17 20 11 15
222	16 6 18 7
223	10 6 9 4
224	1 9 17 11
225	6 13 4 10
226	6 19 2 12
227	19 15 20 7
228	17 5 13 20
229	14 9 7 20
230	16 13 19 12
231	18 5 17 7
232	9 19 15 6
233	11 5 8 4
