Class Times	10
Rooms	5
1	20
2	898
3	772
4	199
5	834
Classes	20
Teachers	10
1	4
2	2
3	1
4	2
5	9
6	1
7	6
8	5
9	6
10	7
11	7
12	8
13	9
14	4
15	5
16	3
17	8
18	10
19	3
20	10
Class Times	10
Rooms	5
1	342
2	309
3	933
4	20
5	687
Classes	20
Teachers	10
1	5
2	8
3	7
4	3
5	5
6	2
7	6
8	6
9	7
10	2
11	8
12	9
13	9
14	10
15	3
16	10
17	4
18	4
19	1
20	1
Class Times	10
Rooms	5
1	138
2	32
3	176
4	619
5	758
Classes	20
Teachers	10
1	8
2	9
3	6
4	9
5	6
6	5
7	8
8	2
9	4
10	4
11	1
12	1
13	2
14	5
15	3
16	10
17	7
18	3
19	7
20	10
Class Times	10
Rooms	5
1	445
2	447
3	487
4	812
5	940
Classes	20
Teachers	10
1	7
2	1
3	6
4	6
5	9
6	9
7	4
8	7
9	2
10	2
11	10
12	3
13	10
14	4
15	3
16	5
17	1
18	5
19	8
20	8
Class Times	10
Rooms	5
1	328
2	638
3	364
4	632
5	867
Classes	20
Teachers	10
1	10
2	4
3	5
4	9
5	7
6	1
7	4
8	10
9	9
10	1
11	8
12	7
13	3
14	8
15	6
16	5
17	3
18	6
19	2
20	2
Class Times	10
Rooms	5
1	613
2	717
3	888
4	202
5	239
Classes	20
Teachers	10
1	6
2	2
3	2
4	8
5	5
6	4
7	7
8	1
9	7
10	8
11	3
12	6
13	5
14	3
15	1
16	10
17	10
18	4
19	9
20	9
Class Times	10
Rooms	5
1	987
2	312
3	567
4	229
5	701
Classes	20
Teachers	10
1	6
2	1
3	8
4	2
5	8
6	2
7	5
8	3
9	3
10	4
11	5
12	9
13	1
14	6
15	4
16	9
17	10
18	10
19	7
20	7
Class Times	10
Rooms	5
1	619
2	150
3	773
4	177
5	27
Classes	20
Teachers	10
1	3
2	2
3	5
4	7
5	10
6	1
7	7
8	10
9	3
10	9
11	9
12	2
13	8
14	6
15	6
16	5
17	1
18	8
19	4
20	4
Class Times	10
Rooms	5
1	653
2	328
3	767
4	535
5	840
Classes	20
Teachers	10
1	6
2	6
3	7
4	8
5	5
6	2
7	8
8	5
9	4
10	10
11	10
12	3
13	3
14	9
15	1
16	7
17	2
18	9
19	4
20	1
Class Times	10
Rooms	5
1	219
2	200
3	834
4	30
5	524
Classes	20
Teachers	10
1	1
2	6
3	5
4	2
5	9
6	6
7	1
8	5
9	7
10	2
11	3
12	8
13	8
14	3
15	9
16	10
17	4
18	7
19	4
20	10
Class Times	10
Rooms	5
1	348
2	265
3	697
4	968
5	679
Classes	20
Teachers	10
1	8
2	7
3	2
4	4
5	6
6	8
7	7
8	10
9	9
10	4
11	3
12	6
13	3
14	9
15	2
16	10
17	5
18	5
19	1
20	1
Class Times	10
Rooms	5
1	64
2	763
3	509
4	272
5	788
Classes	20
Teachers	10
1	7
2	4
3	2
4	8
5	3
6	2
7	6
8	3
9	6
10	1
11	4
12	1
13	9
14	10
15	9
16	10
17	7
18	8
19	5
20	5
Class Times	10
Rooms	5
1	565
2	620
3	429
4	44
5	755
Classes	20
Teachers	10
1	7
2	9
3	1
4	5
5	8
6	5
7	10
8	2
9	3
10	10
11	1
12	4
13	8
14	4
15	2
16	9
17	6
18	6
19	7
20	3
Class Times	10
Rooms	5
1	740
2	621
3	546
4	801
5	366
Classes	20
Teachers	10
1	10
2	10
3	5
4	3
5	1
6	4
7	7
8	7
9	5
10	3
11	2
12	6
13	4
14	1
15	2
16	9
17	8
18	8
19	9
20	6
